aid,evDesc1,evDesc2,evDesc3,evType,ts
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.698259751873,-122.37044843640845)",evStart,2020-08-26T00:02:20.105Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,0.9.2 (29),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-26T00:05:01.505Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,12.4.6,ios","(47.69831102140851,-122.37053233536898)",evStart,2020-08-26T00:05:23.548Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,0.9.2 (29),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-26T00:11:34.921Z
51f2232b-ee92-461d-88ef-65ee8de0c359,0.7.20 (28),Pixel 3a: Android 10,"(47.6984055,-122.3704656)",evStart,2020-08-26T12:34:27.716Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios",n/a,evStart,2020-08-26T15:16:17.776Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T16:34:30.461Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69824904124662,-122.37036967270373)",evStart,2020-08-26T16:34:53.832Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69824904124662,-122.37036967270373)",evStart,2020-08-26T16:35:15.251Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69824701374245,-122.37038370621259)",evStart,2020-08-26T16:39:26.418Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69829688374653,-122.3704925504735)",evStart,2020-08-26T16:56:06.675Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69827089232061,-122.37046278267866)",evStart,2020-08-26T17:08:48.632Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69830254230046,-122.37041361871071)",evStart,2020-08-26T18:42:13.356Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.698269623158886,-122.37038584395965)",evStart,2020-08-26T18:46:10.333Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T20:32:44.510Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T22:44:34.685Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T22:53:43.580Z
9a645a94b940f585eb0cbf4137b0c60ac4f8eb1ac7f114a61edc077e552531f2,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,12.3,ios",n/a,evStart,2020-08-26T23:14:40.912Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.698254355281456,-122.37051270689274)",evStart,2020-08-26T23:38:42.787Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.698287590951374,-122.37059867993491)",evStart,2020-08-26T23:40:45.208Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.0 (30),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-26T23:42:58.544Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,12.4.6,ios","(47.698281611553,-122.37057933203836)",evStart,2020-08-26T23:45:40.218Z
b797edb39859274dffc864e782befb3b8f3dfc7192574e0a0b721b3318f83e74,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-27T01:29:46.856Z
11b93a5a50498a0c9181e7f9a193b1b0cbe50b95e9a3606f0f37ca241bf4c1e6,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-27T01:39:48.616Z
11b93a5a50498a0c9181e7f9a193b1b0cbe50b95e9a3606f0f37ca241bf4c1e6,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-27T01:44:48.164Z
33c5b5f6fe19a77b8433f9a516da568e6bd61fd3c1dadb607c7b27ad672ada03,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-27T02:12:28.853Z
cde5fe57162c6392f4b670ab41b4afb82ed743608d61c3c7c0e40c4a9bf7c340,0.9.2 (29),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios",n/a,evStart,2020-08-27T02:22:04.403Z
57c38e610db33832447f9a3dc9eccca89c38ed5edc577b2f20db33d60ea24f48,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.1.3,ios",n/a,evStart,2020-08-27T02:29:54.732Z
ec854b275a032c9b0fd115c69f0804390a26ce9d7e313a9b52853a46d840f269,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,12.3,ios",n/a,evStart,2020-08-27T02:35:39.733Z
d0b4fb7394bcf9de670aed4f855f45c7d5bff8eea02f7757946ca239a829a7d9,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.66203895229864,-122.3205452556819)",evStart,2020-08-27T03:46:33.768Z
d0573972b4e5751d9eee0d67e0696bd97f9563f09542e9fa0a494a60b5304332,0.9.2 (29),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(46.735526164044074,-119.90914162657165)",evStart,2020-08-27T11:54:59.081Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.0 (30),"android,cordova,capacitor,mobile,hybrid,motorola,moto g(6),android,9,android","(47.6984379,-122.3705165)",evStart,2020-08-27T15:38:18.020Z
f5f526507eee0c684f41e89df184587dd0d6e0b00ddc1bc1bbcc527dc7a1cd76,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,14.0,ios",n/a,evStart,2020-08-27T15:59:47.042Z
2e7fbf12393a81d1be7227cd15ea252f652403b9600273bd8190bfb37e97fbc5,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios",n/a,evStart,2020-08-27T16:36:22.809Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-27T17:24:38.514Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.69826238931565,-122.3703345057143)",evStart,2020-08-27T17:50:09.757Z
aa60dce9815bd4c2958e1a9410bb1ec6656202a67c1676877a99abbffc0dc703,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios",n/a,evStart,2020-08-27T19:05:10.612Z
b82a9a67376adf5715692d16473e9be6661cded5a9836445eef12a23e3986b50,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.698276565532545,-122.37039168369816)",evStart,2020-08-27T21:59:36.805Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69829176253495,-122.37052151395334)",evStart,2020-08-27T23:03:16.550Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.698323597096916,-122.37053736612062)",evStart,2020-08-27T23:06:32.095Z
778ebe21d61b8d975d08cf0c71cbbce454b473a9eb21b9ddea53afdd1e1fc5c0,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios",n/a,evStart,2020-08-28T21:37:45.253Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,moto g(6),android,9,android","(47.698445,-122.3705978)",evStart,2020-08-29T13:55:50.686Z
66be76760e5c86168772ae342b57eef1af5a54ad7e9552c73fa684f8a9fdd0ea,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios","(38.190336609848934,-121.23048384393766)",evStart,2020-08-29T17:30:14.683Z
77cb5e219c9785a805649667f2752192b061db9a8021f0e879a29ed986bdba59,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G (5) Plus,android,7.0,android","(47.5350346,-122.2327858)",evStart,2020-08-29T18:30:15.777Z
77cb5e219c9785a805649667f2752192b061db9a8021f0e879a29ed986bdba59,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G (5) Plus,android,7.0,android","(47.53504,-122.2327914)",evStart,2020-08-30T00:58:51.386Z
09e0071da2fedfaed7526cd8a47edff2d5614558f23c0e9797b5334a2a754e53,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,12.4,ios",n/a,evStart,2020-08-30T01:35:31.329Z
3a19ddcd71ef459097ec4eaa1d0fceaa7a37f224193e1b140c8752678e11365f,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.1.3,ios",n/a,evStart,2020-08-30T01:35:56.200Z
d40d0888ae24465a783c59f413628d3680c770749bda54f4a20358489406437c,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.1.3,ios",n/a,evStart,2020-08-30T10:38:02.291Z
08ace15de10dffd9858b1f7a7771075da9903a010bc4b778e4b8165e0986f9eb,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.5.1,ios",n/a,evStart,2020-08-30T12:50:02.441Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.69820632566817,-122.37052634452381)",evStart,2020-08-31T17:28:47.043Z
8364c471f8d9cff61ac3eb1c22fa6017f89b931bb441101de500dd30551e90d7,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(46.67275393088309,-120.5110853879576)",evStart,2020-08-31T18:29:04.457Z
fc1b9154a03013130b5b4d6f03ff25598f862fdeb1ff62f68f2f0f5db658f486,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios",n/a,evStart,2020-08-31T19:45:41.917Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios","(47.706243314674104,-122.31960674714074)",evStart,2020-08-31T21:07:40.935Z
bd895bb74d836cb8483e0ec50804760606d8cf1e3f22baa5a0344451a5cfeefe,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.3.1,ios","(46.6947719314472,-120.5039274707329)",evStart,2020-09-01T01:20:27.013Z
6e9c0682cd39ef1025891f504f2e73c1d18bebdf474b00035949bbe84140970a,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(46.20411414667807,-119.23999792701704)",evStart,2020-09-01T05:28:39.400Z
66be76760e5c86168772ae342b57eef1af5a54ad7e9552c73fa684f8a9fdd0ea,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios","(38.19036029164294,-121.231073783541)",evStart,2020-09-01T13:46:13.356Z
33c5b5f6fe19a77b8433f9a516da568e6bd61fd3c1dadb607c7b27ad672ada03,1.0.2 (32),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-09-01T21:20:55.513Z
b83f8a407f4af8efdc42c2a98b6b433322aba534543903e12c44b903fada0cb0,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios",n/a,evStart,2020-09-02T09:35:00.662Z
59b80d2d89a66d22e9070cc3ab84984da15c3df0789faa504aa3d6c18d8d1852,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.3,ios",n/a,evStart,2020-09-02T09:52:38.898Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69823531014768,-122.37036381487789)",evStart,2020-09-02T20:42:06.846Z
33c5b5f6fe19a77b8433f9a516da568e6bd61fd3c1dadb607c7b27ad672ada03,1.0.2 (32),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6,ios",n/a,evStart,2020-09-02T20:52:22.323Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,moto g(6),android,9,android","(47.698425,-122.3705278)",evStart,2020-09-03T01:15:28.697Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.1 (31),"android,cordova,capacitor,mobile,hybrid,motorola,moto g(6),android,9,android","(47.6984359,-122.3705254)",evStart,2020-09-03T15:35:55.734Z
261fa3a956642244c7681c3c52ca65dfd56ee42b0d6368dfffa59b39bc64756b,1.0.4 (33),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios",n/a,evStart,2020-09-03T21:22:53.435Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-09-03T22:43:02.071Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-09-03T22:53:33.220Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-09-03T23:03:42.710Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-09-03T23:13:35.461Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-09-03T23:23:25.692Z
20b5cf4d287799fe53cb3e481a7944b7358dde6f78c702fcae5ca7e55b9580f1,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios",n/a,evStart,2020-09-03T23:58:15.891Z
9c19e1a617f5134ab7c290b79acd8a79ce9cf01f93527ca7f117de5e09a2902e,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.1.3,ios",n/a,evStart,2020-09-04T13:45:10.961Z
75c2bc9d73eacaccc3063a79cc2e1f6a4752aeca0715626dbeb07ec888482e8d,1.0.4 (34),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.7,ios",n/a,evStart,2020-09-04T17:28:52.460Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,1.0.4 (34),"android,phablet,cordova,capacitor,mobile,hybrid,samsung,SM-N960U,android,10,android",n/a,evStart,2020-09-05T06:45:02.542Z
fc1b9154a03013130b5b4d6f03ff25598f862fdeb1ff62f68f2f0f5db658f486,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios",n/a,evStart,2020-09-05T22:15:51.070Z
97a2efdfb03d440e38fa5eb10438a19904e939f5498e08b09715b97088747ae8,1.0.4 (34),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,12.4,ios",n/a,evStart,2020-09-06T23:42:08.053Z
32ef4f1cb97a596b410fc0a740c17d9b7f2091fb0e0cb2f56da437525854d4eb,1.0.0 (30),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.1.3,ios",n/a,evStart,2020-09-07T07:09:25.000Z
15e858abe364a5a8626fbdd3484247568f84e762f589aab184f9a9b8cf4f91d0,1.0.4 (34),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.3,ios",n/a,evStart,2020-09-07T19:45:07.308Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.69828340394563,-122.37057656512081)",evStart,2020-09-09T00:00:58.139Z
1db33eb477a37ee7da198e1170d16c8f76f511e74906943368f05c312f52370c,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,12.4,ios",n/a,evStart,2020-09-11T16:26:34.372Z
fcf449c6e351519517b76bc70d5f9ef4d359bce3fe06d46e353fb95e9058b2cf,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(46.677541607591536,-119.92002443156615)",evStart,2020-09-11T19:01:32.939Z
45f83750ced694d5faf9d9971523464892b661feb879e4ae5db885e8e513c873,1.0.4 (34),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(46.5867789144272,-120.61633680044974)",evStart,2020-09-11T19:38:59.181Z
b3a258dde8b28bdc766b92d0e5cc5ba30d95c8b5c6a3a42f334a44b626f38bbe,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios",n/a,evStart,2020-09-11T20:10:52.922Z
eacdf01a890e5d9ac23159de5f72ce3c2b3a6ca4ef4478a244f642d2aeac8a37,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.7,ios",n/a,evStart,2020-09-11T22:41:46.291Z
fcf449c6e351519517b76bc70d5f9ef4d359bce3fe06d46e353fb95e9058b2cf,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(46.677610900363646,-119.9200095686226)",evStart,2020-09-12T22:01:50.105Z
295fdebbde25c69289cef9fc2ed17dca40bc58e7426d017a268e422321d431f8,1.0.4 (34),"android,phablet,cordova,capacitor,mobile,hybrid,samsung,SM-N960U,android,10,android",n/a,evStart,2020-09-13T22:48:26.619Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.7,ios","(47.698746767943156,-122.37328200220921)",evStart,2020-09-14T22:22:20.388Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.705804566993955,-122.31849892962519)",evStart,2020-09-14T22:23:21.826Z
c9f897283356effed26433dff687884dc09231c2be5f93fc5b63aeef8e09ec4e,1.0.4 (34),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(45.400340383056765,-122.66152553218393)",evStart,2020-09-15T17:23:47.578Z
a57a0dabc857dc3bfcf1c067e36c2b1cc8c3673e66086b8dcc52a8154278d683,1.0.4 (34),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios",n/a,evStart,2020-09-15T17:27:51.623Z
bdf22ee047ad7a8a9c1b88b454634955c8cfe69a8433219fc4cff8ef82649e1f,1.0.4 (34),"android,phablet,cordova,capacitor,mobile,hybrid,samsung,SM-J737V,android,9,android",n/a,evStart,2020-09-16T01:28:14.654Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,1.0.0 (30),"ipad,ios,tablet,cordova,capacitor,mobile,hybrid,Apple,iPad,ios,13.6.1,ios","(47.69833107482893,-122.37043311833276)",evStart,2020-09-16T16:37:56.984Z
ae988b519426cf02c44c2282e074308bb2d7bca09d070440e928c57e0f1b00ac,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.7,ios","(46.57017454509863,-120.60496182531013)",evStart,2020-09-17T17:56:47.834Z
ae988b519426cf02c44c2282e074308bb2d7bca09d070440e928c57e0f1b00ac,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.7,ios",n/a,evStart,2020-09-18T19:12:18.602Z
