aid,evDesc1,evDesc2,evDesc3,evType,ts
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,1.0.15 (48),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G781U,android,11,android",n/a,evStart,2021-07-01T02:40:02.082Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,Labels Search,es,,evViewPage,2021-07-01T02:40:02.259Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,34704-447,Carbaryl 4L,,evViewHS,2021-07-01T02:40:21.031Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,HS Label,es,Carbaryl 4L | epa: 34704-447,evViewPage,2021-07-01T02:40:21.471Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,HS Label,es=>en,,evLanguageToggle,2021-07-01T02:40:27.980Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,HS Label,en=>es,,evLanguageToggle,2021-07-01T02:40:41.108Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,HSLabel,Carbaryl 4L | epa: 34704-447,Category: Product Information,evCategoryOpen,2021-07-01T02:40:55.271Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,51934-12,CIDETRAK® DA MEC™,,evViewHS,2021-07-01T02:44:05.367Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,HS Label,es,CIDETRAK® DA MEC™ | epa: 51934-12,evViewPage,2021-07-01T02:44:05.775Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,active => inactive,,,evStateChange,2021-07-01T02:45:31.546Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.15 (48),"android,cordova,capacitor,mobile,hybrid,motorola,moto g(6),android,9,android","(47.7007620900496,-122.37091444992434)",evStart,2021-07-01T10:05:27.575Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,Labels Search,en,,evViewPage,2021-07-01T10:05:28.120Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,More,en,,evViewPage,2021-07-01T10:05:28.890Z
