aid,evDesc1,evDesc2,evDesc3,evType,ts
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6.1,ios","(47.705929035449735,-122.31745726946684)",evStart,2020-11-01T06:21:01.085Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,Labels Search,es,,evViewPage,2020-11-01T06:21:01.169Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,62719-220-71058,Eraser™,,evViewHS,2020-11-01T06:21:22.059Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,es,Eraser™ | epa: 62719-220-71058,evViewPage,2020-11-01T06:21:22.718Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,es=>en,,evLanguageToggle,2020-11-01T06:22:32.088Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,en=>es,,evLanguageToggle,2020-11-01T06:22:33.654Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,es=>en,,evLanguageToggle,2020-11-01T06:22:34.155Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,en=>es,,evLanguageToggle,2020-11-01T06:22:34.920Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,es=>en,,evLanguageToggle,2020-11-01T06:22:36.604Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,en=>es,,evLanguageToggle,2020-11-01T06:22:40.087Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,es=>en,,evLanguageToggle,2020-11-01T06:22:40.954Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,HS Label,en=>es,,evLanguageToggle,2020-11-01T06:22:41.654Z
