"NameReg", "Count"
"120 HERBICIDE | 9779-96", 2
"2,4-D /AMINE 4 HERBICIDE | 33270-21", 1
"2,4-D AMINE 4 HERBICIDE | 42750-19-5905", 2
"3336 70EG TURF & ORNAMENTAL SYSTEMIC FUNGICIDE | 1001-81", 2
"ABACUS AGRICULTURAL MITICIDE/INSECTICIDE | 83100-4-83979", 2
"ABAMECTIN 2% MITICIDE/INSECTICIDE | 85678-3", 1
"ABAMEX MITICIDE/INSECTICIDE | 228-734", 1
"ABBA 0.15 | 66222-191", 4
"ABBA 0.15EC MITICIDE/INSECTICIDE | 72167-43-66222", 5
"ABBA 0.15EC | 66222-139", 2
"ABBA ULTRA MITICIDE/INSECTICIDE | 5481-621", 4
"ABBA ULTRA MITICIDE/INSECTICIDE | 66222-226", 5
"ACENTHRIN INSECTICIDE | 70506-339", 1
"ACETO BIFENTHRIN 2 EC | 2749-556", 2
"ACTIGARD 50WG | 100-922", 1
"ADAMENT 50 WG FUNGICIDE | 264-1052", 1
"AGRI-FLEX MITICIDE/INSECTICIDE | 100-1350", 1
"AGRI-FOS SYSTEMIC FUNGICIDE PLUS | 71962-2", 1
"AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE | 9779-273", 7
"AGRISTAR BASIC COPPER 53 | 45002-8", 1
"ALTUS | 432-1575", 1
"CAPTIVA | 10163-326", 1
"CHAMP FORMULA 2 FLOWABLE | 55146-64", 2
"DIAZINON AG600 WBC INSECTICIDE | 66222-103-34704", 1
"DuPONT LANNATE LV INSECTICIDE | 352-384", 1
"FLUDIOXONIL 2L PH | 42750-251", 1
"GALIGAN 2E HERBICIDE | 66222-28", 4
"GLY STAR PLUS | 42750-61", 1
"GRAMOXONE SL 2.0 HERBICIDE | 100-1431", 2
"HDH TBZ | 43410-33-83103", 1
"IAP 440 SPRAY OIL | 71058-6", 1
"KASUMIN 2L | 66330-404", 1
"LEAF LIFE GAVICIDE GREEN 415 | 34704-1028", 2
"LORSBAN 75WG | 62719-301", 1
"MERIVON XEMIUM BRAND FUNGICIDE | 7969-310", 1
"PARAQUAT 43.2% SL | 85678-58", 5
"QUALI-PRO CHLORPYRIFOS 4E INSECTICIDE | 66222-19", 1
"REGULATE SELECT | 89442-16", 2
"TALSTAR P PROFESSIONAL INSECTICIDE | 279-3206", 1
"THE ECOLOGY WORKS SOLUNEEM | 81899-4-67419", 1
"TIMECTIN 0.15EC AG INSECTICIDE/MITICIDE | 84229-2", 2
"TOPGUARD FUNGICIDE SPECIALTY CROPS | 67760-75", 1
"WILLOWOOD ABAMECTIN 0.15EC | 87290-58", 1
"ecoFOG-170 DPA POST-HARVEST DIPHENYLAMINE | 64864-69", 1
