"NameReg", "Count"
"440 Superior Spray Oil | 2935-546", 11
"Acramite® - 50WS | 400-503", 8
"Actara® | 100-938", 3
"Agri Star™ BASIC COPPER 53 Basic Copper Sulfate | 45002-8", 1
"Ambush® 25W Insecticide Wettable Powder | 5481-502", 1
"Asana® XL Insecticide | 59639-209", 3
"Assail® 70WP Insecticide | 8033-23-70506", 11
"Belt® SC Insecticide | 264-1025", 7
"CIDETRAK® DA MEC™ | 51934-12", 1
"Calypso® 4 Flowable Insecticide | 264-806", 7
"Captan 50 Wettable Powder | 66330-234", 1
"Carbaryl 4L | 19713-49", 3
"Carbaryl 4L | 34704-447", 8
"Check Mate CM-F | 56336-37", 3
"Cidetrak® Da Mec™ | 51934-12", 2
"Delegate® WG INSECTICIDE | 62719-541", 3
"Delegate® WG | 62719-541", 11
"DiPel® DF Biological Insecticide Dry Flowable | 73049-39", 3
"Drexel® Carbaryl 4L Insecticide | 19713-49", 1
"Drexel® Sulfur 80 WDG | 19713-674", 2
"DuPont™ Altacor® INSECT CONTROL WITH THE ACTIVE INGREDIENT RYNAXYPYR® | 352-730", 2
"DuPont™ Altacor® | 352-730", 2
"DuPont™ Fontelis® FUNGICIDE | 352-834", 5
"Entrust® SC Naturalite®   Insect Control | 62719-621", 5
"Eraser™ | 62719-220-71058", 4
"FireLine™ 17 WP fungicide/bactericide | 80990-1", 5
"IAP HI SUPREME 440 SPRAY OIL-NW | 71058-6", 1
"IAP® Dormant Oil | 71058-2", 1
"IAP™ HI SUPREME 440 SPRAY OIL-NW | 71058-6", 1
"Imidan® 70-W Agricultural Insecticide | 10163-169", 1
"Intruder® Max 70WP Insecticide | 8033-23-70506", 3
"Isomate®  CM Flex | 53575-32", 4
"Lambda-CY™ EC - RUP | 70506-121", 1
"Lorsban® Advanced | 62719-591", 24
"Lorsban®-4E INSECTICIDE | 62719-220", 2
"Lorsban®-4E Insecticide | 62719-220", 12
"Luna® SENSATION | 264-1090", 4
"Pitch® 35WP | 59639-115-66222", 1
"Rex Lime Sulfur Solution | 71096-6", 16
"Success® NATURALYTE® INSECT CONTROL | 62719-292", 4
"Topguard® Fungicide Specialty Crops | 279-3557", 3
"Ultor® | 264-1065", 1
"Warrior II with Zeon Technology® | 100-1295", 6
