"NameReg", "Count"
"440 Superior Spray Oil | 2935-546", 6
"Acramite® - 50WS | 400-503", 2
"Ambush® 25W Insecticide Wettable Powder | 5481-502", 1
"Asana® XL Insecticide | 59639-209", 2
"Assail® 70WP Insecticide | 8033-23-70506", 4
"Belt® SC Insecticide | 264-1025", 3
"Calypso® 4 Flowable Insecticide | 264-806", 2
"Carbaryl 4L | 19713-49", 3
"Carbaryl 4L | 34704-447", 7
"Cidetrak® Da Mec™ | 51934-12", 2
"Delegate® WG | 62719-541", 4
"DiPel® DF Biological Insecticide Dry Flowable | 73049-39", 1
"DuPont™ Altacor® INSECT CONTROL WITH THE ACTIVE INGREDIENT RYNAXYPYR® | 352-730", 1
"DuPont™ Fontelis® FUNGICIDE | 352-834", 3
"Entrust® SC Naturalite®   Insect Control | 62719-621", 1
"Eraser™ | 62719-220-71058", 1
"FireLine™ 17 WP fungicide/bactericide | 80990-1", 1
"Isomate®  CM Flex | 53575-32", 3
"Lambda-CY™ EC - RUP | 70506-121", 1
"Lorsban® Advanced | 62719-591", 15
"Lorsban®-4E Insecticide | 62719-220", 11
"Pitch® 35WP | 59639-115-66222", 1
"Rex Lime Sulfur Solution | 71096-6", 3
"Warrior II with Zeon Technology® | 100-1295", 2
