"NameReg", "Count"
"120 HERBICIDE | 9779-96", 4
"2,4-D /AMINE 4 HERBICIDE | 33270-21", 15
"2,4-D AMINE 4 HERBICIDE | 42750-19-5905", 16
"2,4-D AMINE 4 | 1381-103", 7
"3336 70EG TURF & ORNAMENTAL SYSTEMIC FUNGICIDE | 1001-81", 2
"3336 F TURF & ORNAMENTAL FUNGICIDE | 1001-69", 7
"440 SUPERIOR SPRAY OIL | 2935-546", 11
"470 SUPREME SPRAY OIL | 2935-546", 3
"6-BA | 71368-60-71089", 1
"ABACUS AGRICULTURAL MITICIDE/INSECTICIDE | 83100-4-83979", 4
"ABAMECTIN 2% MITICIDE/INSECTICIDE | 85678-3", 1
"ABAMEX MITICIDE/INSECTICIDE | 228-734", 2
"ABBA 0.15 | 66222-191", 4
"ABBA 0.15EC MITICIDE/INSECTICIDE | 72167-43-66222", 5
"ABBA 0.15EC | 66222-139", 2
"ABBA ULTRA MITICIDE/INSECTICIDE | 5481-621", 4
"ABBA ULTRA MITICIDE/INSECTICIDE | 66222-226", 5
"ACADEMY FUNGICIDE | 100-1529", 1
"ACENTHRIN INSECTICIDE | 70506-339", 3
"ACEPHATE 97UP INSECTICIDE | 70506-8", 1
"ACETO BIFENTHRIN 2 EC | 2749-556", 2
"ACRAMITE-50WS | 400-503", 1
"ACTARA INSECTICIDE | 100-938", 1
"ACTIGARD 50WG | 100-922", 1
"ADAMENT 50 WG FUNGICIDE | 264-1052", 1
"ADMIRE PRO SYSTEMIC PROTECTANT | 264-827", 1
"ADORN FUNGICIDE | 59639-141", 1
"AGCLOR 310 | 2792-62", 1
"AGRI STAR GLY STAR 5 EXTRA | 42750-59", 3
"AGRI-FLEX MITICIDE/INSECTICIDE | 100-1350", 3
"AGRI-FOS SYSTEMIC FUNGICIDE PLUS | 71962-2", 1
"AGRI-MEK SC MITICIDE/INSECTICIDE | 100-1351", 1
"AGRI-MEK SC | 100-1351", 2
"AGRI-MYCIN 17 | 55146-96", 2
"AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE | 9779-273", 2
"AGRISOLUTIONS RUGGED HERBICIDE | 1381-247", 1
"AGRISOLUTIONS YUMA 4E INSECTICIDE | 62719-220-1381", 1
"AGRISTAR NU-COP HB | 42750-132", 1
"AGSAVER GLYPHOSATE 53.8 % | 83772-12", 1
"AIM EC HERBICIDE | 279-3241", 1
"ALTACOR INSECT CONTROL | 279-9607", 7
"ALTUS | 432-1575", 1
"APOGEE PLANT GROWTH REGULATOR | 7969-188", 3
"ASSAIL 70WP INSECTICIDE | 8033-23", 1
"ASSAIL 70WP INSECTICIDE | 8033-23-70506", 2
"AZAGUARD BOTANICAL INSECTICIDE/NEMATICIDE | 70299-17", 1
"AZAMAX | 71908-1-81268", 1
"BATTALLION 2EC | 91234-104", 1
"BIFEN XTS INSECTICIDE/TERMITICIDE | 53883-189", 1
"BLUSH | 62097-29-82917", 1
"BRANDT LIME SULFUR FUNGICIDE | 61842-30-48813", 4
"BSP LIME-SULFUR SOLUTION | 66196-2", 1
"BUCCANEER PLUS GLYPHOSATE HERBICIDE | 55467-9", 1
"CAPTIVA | 10163-326", 1
"CARBARYL 4L INSECTICIDE | 34704-447", 2
"CHAMP 30 DP AG FUNGICIDE/BACTERICIDE | 55146-115", 2
"CHAMP DRY PRILL AGRICULTURAL FUNGICIDE / BACTERICIDE | 55146-57", 2
"CHAMP FORMULA 2 FLOWABLE | 55146-64", 2
"CLEANSHOT 4L HERBICIDE | 83222-39", 1
"DANITOL 2.4EC SPRAY | 59639-35", 20
"DELEGATE WG INSECTICIDE | 62719-541", 2
"DIAZINON AG600 WBC INSECTICIDE | 66222-103-34704", 1
