"NameReg", "Count"
"120 HERBICIDE | 9779-96", 2
"2,4-D /AMINE 4 HERBICIDE | 33270-21", 14
"2,4-D AMINE 4 HERBICIDE | 42750-19-5905", 14
"2,4-D AMINE 4 | 1381-103", 3
"3336 F TURF & ORNAMENTAL FUNGICIDE | 1001-69", 6
"440 SUPERIOR SPRAY OIL | 2935-546", 11
"470 SUPREME SPRAY OIL | 2935-546", 3
"6-BA | 71368-60-71089", 1
"ABACUS AGRICULTURAL MITICIDE/INSECTICIDE | 83100-4-83979", 2
"ABAMEX MITICIDE/INSECTICIDE | 228-734", 1
"ACADEMY FUNGICIDE | 100-1529", 1
"ACENTHRIN INSECTICIDE | 70506-339", 1
"ACEPHATE 97UP INSECTICIDE | 70506-8", 1
"ACRAMITE-50WS | 400-503", 1
"ADMIRE PRO SYSTEMIC PROTECTANT | 264-827", 1
"ADORN FUNGICIDE | 59639-141", 1
"AGCLOR 310 | 2792-62", 1
"AGRI-FLEX MITICIDE/INSECTICIDE | 100-1350", 2
"AGRI-MEK SC MITICIDE/INSECTICIDE | 100-1351", 1
"AGRI-MEK SC | 100-1351", 2
"AGRI-MYCIN 17 | 55146-96", 2
"AGRISOLUTIONS RUGGED HERBICIDE | 1381-247", 1
"AGRISTAR BASIC COPPER 53 | 45002-8", 6
"AGSAVER GLYPHOSATE 53.8 % | 83772-12", 1
"AIM EC HERBICIDE | 279-3241", 1
"APOGEE PLANT GROWTH REGULATOR | 7969-188", 1
"ASSAIL 70WP INSECTICIDE | 8033-23", 1
"ASSAIL 70WP INSECTICIDE | 8033-23-70506", 2
"AZAGUARD BOTANICAL INSECTICIDE/NEMATICIDE | 70299-17", 1
"AZAMAX | 71908-1-81268", 1
"BATTALLION 2EC | 91234-104", 1
"BRANDT LIME SULFUR FUNGICIDE | 61842-30-48813", 4
"BSP LIME-SULFUR SOLUTION | 66196-2", 1
"BUCCANEER PLUS GLYPHOSATE HERBICIDE | 55467-9", 1
"CHAMP 30 DP AG FUNGICIDE/BACTERICIDE | 55146-115", 2
"CHAMP DRY PRILL AGRICULTURAL FUNGICIDE / BACTERICIDE | 55146-57", 2
"CLEANSHOT 4L HERBICIDE | 83222-39", 1
"DELEGATE WG INSECTICIDE | 62719-541", 2
"DREXEL CARBARYL 4L INSECTICIDE | 19713-49", 1
"DREXEL MALATHION 5EC INSECTICIDE/MITICIDE | 19713-217", 1
"DuPONT EXIREL | 352-859", 1
"DuPONT LANNATE LV INSECTICIDE | 352-384", 1
"ENTRUST SC NATURALYTE INSECT CONTROL | 62719-621", 1
"ENTRUST | 62719-282", 1
"FUSILADE DX HERBICIDE | 100-1070", 2
"GLY STAR ORIGINAL | 42750-60", 1
"GOVERN 4E INSECTICIDE | 62719-220-55467", 1
"GRAMOXONE SL 2.0 HERBICIDE | 100-1431", 3
"HAWK-I 2L INSECTICIDE | 81943-11", 1
"K-SALT FRUIT FIX 200 | 5481-414", 1
"LAMBDA SELECT | 86869-5", 1
"LEPROTEC | 89046-12-88847", 2
"LIME SULFUR ULTRA | 71096-11", 1
"LIME-SULFUR SOLUTION -CANCELLED 2020- | 61842-30", 1
"LIME-SULFUR SOLUTION AG FUNGICIDE | 61842-30", 1
"LORSBAN 75WG | 62719-301", 1
"LORSBAN-4E INSECTICIDE | 62719-220", 1
"LUNA TRANQUILITY | 264-1085", 1
"MAD DOG PLUS | 34704-890", 1
"NU-COP 50DF FUNGICIDE/BACTERICIDE | 45002-4", 1
"ONAGER EW MITICIDE | 10163-337", 1
"PAGEANT INTRINSIC BRAND FUNGICIDE | 7969-251", 2
"PARA-SHOT 3.0 | 83529-27", 1
"PARAQUAT 43.2% SL | 85678-58", 13
"PROCURE 480SC AG FUNGICIDE | 400-518", 1
"PROMALIN PGR SOLUTION | 73049-41", 1
"PROWL H2O HERBICIDE | 241-418", 1
"QUALI-PRO GLYPHOSATE PLUS HERBICIDE | 66222-176", 1
"RELY 280 HERBICIDE | 7969-448", 1
"RESIST 57 | 82940-1", 1
"REX LIME SULFUR SOLUTION | 71096-6", 1
"ROUNDUP POWER MAX HERB | 524-549", 4
"ROUNDUP POWER MAX HERBICIDE | 524-549", 2
"ROUNDUP WEATHER MAX HERBICIDE | 524-537", 1
"ROUNDUP WEATHER MAX | 524-537", 1
"SEVIN SL CARBARYL INSECTICIDE (ES) | 432-1227", 1
"SULFUR DRY FLOWABLE | 62562-4-2935", 3
"TALSTAR P PROFESSIONAL INSECTICIDE | 279-3206", 2
"TYPY PGR SOLUTION | 55146-78", 1
"VALENT ENVOY HERBICIDE | 59639-78", 1
"VELUM PRIME | 264-1078", 1
"VINAGREEN | 85208-1-73015", 1
"WYNCA USA SUNPHOSATE 41% HERBICIDE | 87659-3", 1
