aid,epaReg,prodName,sourcePage,evType,ts
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,51934-12,Cidetrak® Da Mec™,H&S,evDownloadLabel,2020-08-26T00:04:58.774Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,81899-4-67419,THE ECOLOGY WORKS SOLUNEEM,PICOL,evDownloadLabel,2020-08-26T00:06:11.910Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,66222-19,QUALI-PRO CHLORPYRIFOS 4E INSECTICIDE,PICOL,evDownloadLabel,2020-08-26T03:40:58.928Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,10163-236,Supracide® 2E,H&S,evDownloadLabel,2020-08-26T23:20:33.998Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,19713-49,Carbaryl 4L,H&S,evDownloadLabel,2020-08-26T23:59:59.136Z
d0573972b4e5751d9eee0d67e0696bd97f9563f09542e9fa0a494a60b5304332,66330-404,KASUMIN 2L,PICOL,evDownloadLabel,2020-08-27T11:56:40.858Z
9f635ac94fe07d336db9c7e621382472932fe7db57d37e1fe777b94ba9bd7ff2,66222-103-34704,DIAZINON AG600 WBC INSECTICIDE,PICOL,evDownloadLabel,2020-08-27T14:01:34.397Z
aa60dce9815bd4c2958e1a9410bb1ec6656202a67c1676877a99abbffc0dc703,42750-19-5905,"2,4-D AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2020-08-27T19:05:52.237Z
66be76760e5c86168772ae342b57eef1af5a54ad7e9552c73fa684f8a9fdd0ea,432-1575,ALTUS,PICOL,evDownloadLabel,2020-08-29T17:32:42.200Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-01T21:18:08.056Z
33c5b5f6fe19a77b8433f9a516da568e6bd61fd3c1dadb607c7b27ad672ada03,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-01T21:21:23.077Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,62719-591,Lorsban® Advanced,H&S Supplement,evDownloadLabel,2020-09-01T22:22:56.621Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,62719-591,Lorsban® Advanced,H&S Supplement,evDownloadLabel,2020-09-01T22:24:44.752Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2020-09-01T22:25:34.533Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-01T22:28:00.323Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2020-09-01T22:44:10.837Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-01T22:45:37.453Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2020-09-01T22:59:32.064Z
261fa3a956642244c7681c3c52ca65dfd56ee42b0d6368dfffa59b39bc64756b,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-03T21:24:29.038Z
261fa3a956642244c7681c3c52ca65dfd56ee42b0d6368dfffa59b39bc64756b,352-730,DuPont™ Altacor®,H&S,evDownloadLabel,2020-09-03T21:25:39.633Z
261fa3a956642244c7681c3c52ca65dfd56ee42b0d6368dfffa59b39bc64756b,352-730,DuPont™ Altacor®,H&S Supplement,evDownloadLabel,2020-09-03T21:25:53.616Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-03T21:30:33.677Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,352-730,DuPont™ Altacor®,H&S,evDownloadLabel,2020-09-03T21:31:16.165Z
b1b6c43df0d81dec96dc0b8f8eba7a0da4882680c4e380428211bbce7c69b242,352-730,DuPont™ Altacor®,H&S Supplement,evDownloadLabel,2020-09-03T21:31:27.183Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,9779-273,AGRISOLUTIONS DIMATE 4E SYSTEMIC INSECTICIDE,PICOL,evDownloadLabel,2020-09-03T22:47:29.528Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,352-730,DuPont™ Altacor®,H&S,evDownloadLabel,2020-09-03T22:48:25.123Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,352-730,DuPont™ Altacor®,H&S Supplement,evDownloadLabel,2020-09-03T22:48:40.897Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2020-09-05T06:45:27.263Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,53575-32,Isomate®  CM Flex,H&S,evDownloadLabel,2020-09-05T06:45:48.229Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,2749-556,ACETO BIFENTHRIN 2 EC,PICOL,evDownloadLabel,2020-09-14T22:26:09.529Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,100-1295,Warrior II with Zeon Technology®,H&S,evDownloadLabel,2020-09-16T16:38:58.320Z
ae988b519426cf02c44c2282e074308bb2d7bca09d070440e928c57e0f1b00ac,66222-139,ABBA 0.15EC,PICOL,evDownloadLabel,2020-09-17T18:10:17.738Z
4a2d40421a2c99bd9dd65e62f08543e581a4b6471c76dbc6807f5501e278c9b7,400-503,Acramite® - 50WS,H&S,evDownloadLabel,2020-09-21T18:22:27.116Z
75810c7cf1f1f278200ff5a48e528bc8572b6e25d4d08191d57c57389d26b01d,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2020-09-21T19:53:39.472Z
75810c7cf1f1f278200ff5a48e528bc8572b6e25d4d08191d57c57389d26b01d,62719-591,Lorsban® Advanced,H&S Supplement,evDownloadLabel,2020-09-21T19:54:47.712Z
b0aea0f893e113c13b32d4655bf15f5988dfb520a55071f7c9bed38a8fc6c94a,72167-43-66222,ABBA 0.15EC MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2020-09-21T22:59:46.323Z
b0aea0f893e113c13b32d4655bf15f5988dfb520a55071f7c9bed38a8fc6c94a,72167-43-66222,ABBA 0.15EC MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2020-09-21T22:59:59.695Z
b0aea0f893e113c13b32d4655bf15f5988dfb520a55071f7c9bed38a8fc6c94a,66222-226,ABBA ULTRA MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2020-09-21T23:00:13.820Z
