aid,evDesc1,evDesc2,evDesc3,evType,ts
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,Labels Search,en,,evViewPage,2020-08-26T00:02:20.179Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,More,en,,evViewPage,2020-08-26T00:02:36.071Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,Resources,en,,evViewPage,2020-08-26T00:02:39.959Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,Labels Search,es,,evViewPage,2020-08-26T00:03:57.513Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,HS Label,es,Cidetrak® Da Mec™ | epa: 51934-12,evViewPage,2020-08-26T00:04:19.468Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:05:03.601Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,Labels Search,en,,evViewPage,2020-08-26T00:05:23.939Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,PICOL Search,es,,evViewPage,2020-08-26T00:05:26.856Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:05:35.367Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,Resources,en,,evViewPage,2020-08-26T00:05:35.795Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,PICOL Label,es,THE ECOLOGY WORKS SOLUNEEM | epa: 81899-4-67419,evViewPage,2020-08-26T00:05:57.993Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:06:02.827Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:11:37.528Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:12:11.278Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:12:18.100Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:12:41.152Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:12:42.250Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:12:57.666Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:13:21.442Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,Labels Search,es,,evViewPage,2020-08-26T03:33:12.110Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,More,en,,evViewPage,2020-08-26T03:33:28.786Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,About,es,,evViewPage,2020-08-26T03:33:36.162Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,EULA,en,,evViewPage,2020-08-26T03:35:11.309Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,PICOL Search,en,,evViewPage,2020-08-26T03:40:13.627Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,PICOL Label,en,QUALI-PRO CHLORPYRIFOS 4E INSECTICIDE | epa: 66222-19,evViewPage,2020-08-26T03:40:45.765Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,More,en,,evViewPage,2020-08-26T03:47:16.090Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,Privacy,en,,evViewPage,2020-08-26T03:47:23.000Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,About,en,,evViewPage,2020-08-26T03:48:02.897Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,Labels Search,es,,evViewPage,2020-08-26T11:32:45.038Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,HS Label,es,Supracide® 2E | epa: 10163-236,evViewPage,2020-08-26T11:33:24.170Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,PICOL Search,en,,evViewPage,2020-08-26T11:34:39.983Z
