aid,evDesc1,evDesc2,evDesc3,evType,ts
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,LGE,LM-Q730,android,10,android","(46.7156685,-119.9351538)",evStart,2021-01-05T04:06:28.948Z
fc762934fc2ba3879c515370a86abb21f4f84ea315735c56531dac468aeed03a,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios","(32.3585698515691,-95.35861494444697)",evStart,2021-01-05T17:33:01.710Z
7c441680b9ad0621a8acb78f431d44f6de843842d87a651687fd23cbf4a8f315,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios","(47.70630395317993,-122.31958646911674)",evStart,2021-01-05T21:38:19.452Z
915d4078d9d958dc36640b12f35f5c0c804b71184c0640bf7270f44a98b72d85,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2.1,ios","(46.59711474791363,-120.57695659936121)",evStart,2021-01-08T06:09:26.455Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios","(46.276368458273645,-119.45393965482049)",evStart,2021-01-08T16:44:25.216Z
9f635ac94fe07d336db9c7e621382472932fe7db57d37e1fe777b94ba9bd7ff2,1.0.4 (34),"android,phablet,cordova,capacitor,mobile,hybrid,Google,Pixel 3a,android,11,android","(47.6984296,-122.370484)",evStart,2021-01-11T23:06:00.595Z
6d2a8b658adc1ff56801619e1cb283557d2ba63fac34f41238dfeed803392956,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios","(47.69828656941665,-122.37048042029258)",evStart,2021-01-12T22:06:19.028Z
fc762934fc2ba3879c515370a86abb21f4f84ea315735c56531dac468aeed03a,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.3,ios","(32.332864144617346,-95.25341935373672)",evStart,2021-01-13T02:13:30.862Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.3,ios","(45.72966006831992,-121.48944599310319)",evStart,2021-01-13T18:40:48.155Z
a8132963eb929e929b4294430cc06e9b559f71e0c377f73be526fb170dc8e491,1.0.4 (34),"android,phablet,cordova,capacitor,mobile,hybrid,samsung,SM-G973U,android,10,android","(45.7300965,-121.4898784)",evStart,2021-01-13T18:42:49.685Z
501e0342333ec8d29ba5918253619f745dfee235bc0387983c44ef41c1d7eac9,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A505U,android,10,android","(45.8568293,-121.4875519)",evStart,2021-01-14T14:45:36.848Z
