aid,evDesc1,evDesc2,evDesc3,evType,ts
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,inactive => active,,,evStateChange,2021-05-01T00:29:07.477Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,active => inactive,,,evStateChange,2021-05-01T00:29:08.192Z
fc03ceb5c128e25a2911e5dab9968700e9f576565bfebfd4a4ccad03b42af817,1.0.11 (41),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4.2,ios",n/a,evStart,2021-05-01T12:36:01.529Z
fc03ceb5c128e25a2911e5dab9968700e9f576565bfebfd4a4ccad03b42af817,Labels Search,es,,evViewPage,2021-05-01T12:36:01.602Z
fc03ceb5c128e25a2911e5dab9968700e9f576565bfebfd4a4ccad03b42af817,active => inactive,,,evStateChange,2021-05-01T12:37:00.311Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.11 (41),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4.2,ios",n/a,evStart,2021-05-01T15:26:36.185Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,Labels Search,en,,evViewPage,2021-05-01T15:26:36.288Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,71096-6,Rex Lime Sulfur Solution,rex ,evViewHS,2021-05-01T15:26:46.099Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,HS Label,en,Rex Lime Sulfur Solution | epa: 71096-6,evViewPage,2021-05-01T15:26:46.741Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,HSLabel,Rex Lime Sulfur Solution | epa: 71096-6,Category: Physical or Chemical Hazards,evCategoryOpen,2021-05-01T15:26:55.416Z
