aid,evDesc1,evDesc2,evDesc3,evType,ts
dab483aa7934a7bcc05f4cd55a7beea9cdbdacfbbd396cae5ac178fa00ff2e11,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-01T20:01:08.693Z
359cd6fd954572f64f27bc7bd4420d305a2673a864f7fe5cb668941f11083db7,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios","(46.55436594343215,-119.25583194473563)",evStart,2021-03-01T22:37:40.257Z
359cd6fd954572f64f27bc7bd4420d305a2673a864f7fe5cb668941f11083db7,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-01T22:39:25.850Z
161996da6edd9a23d6003095980dfe61d37644f546a9a5bfa4b7813c28639a88,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,LGE,LM-G900,android,10,android",n/a,evStart,2021-03-02T00:17:29.382Z
c039273be77bcb18497b3a9c9c057d83af87a679f60ffb8ef2d826ecf458b657,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G970U,android,11,android",n/a,evStart,2021-03-02T02:25:12.998Z
c039273be77bcb18497b3a9c9c057d83af87a679f60ffb8ef2d826ecf458b657,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G970U,android,11,android",n/a,evStart,2021-03-02T13:56:36.005Z
04dba5d9a3de740c009f310f06a9cd3246c164a6710e2fc88ae17036545f2748,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,Google,Pixel 3a,android,11,android","(47.67336560541991,-122.29581284036799)",evStart,2021-03-02T17:56:51.937Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios","(44.60090727691267,-123.26230837606563)",evStart,2021-03-02T19:17:52.538Z
6040f73c1d071377d0ded97fc8b6b7e7d5acdf4f483deabb22e6e5fc3fe7cf01,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A205U,android,10,android",n/a,evStart,2021-03-03T17:18:10.520Z
161996da6edd9a23d6003095980dfe61d37644f546a9a5bfa4b7813c28639a88,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,LGE,LM-G900,android,10,android","(46.60059261917577,-120.56388819595398)",evStart,2021-03-03T17:53:10.645Z
d6d60266ab5001a37acf1afe32143c98b79ab5631f8b42b53d96a73ed1daf321,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-03T19:25:26.585Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios","(44.59944182445493,-123.26667497170246)",evStart,2021-03-03T23:01:51.110Z
54e258139f41fd82c7437bf9b57b836af14250749548a7a7eb6474e57b5bd0c2,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-03T23:10:31.284Z
d1bc238b725200b8b1c4659f307a3790dbd1ece01ce3d54a750e1e95044eba8a,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios",n/a,evStart,2021-03-04T02:31:34.796Z
96d9d34cc7de9375945eb4eb445acdb23c5afca0d2cc4870d678068c38b9a205,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-04T02:45:57.387Z
45f1c77b411245aaef68f15cce8a2161bc8b6470054c736aa0a41604cdbf08ce,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-04T14:43:00.718Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A115AP,android,10,android",n/a,evStart,2021-03-04T17:58:50.171Z
d1bc238b725200b8b1c4659f307a3790dbd1ece01ce3d54a750e1e95044eba8a,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.5.1,ios","(46.56598989958326,-120.48237380835602)",evStart,2021-03-04T21:04:45.294Z
161996da6edd9a23d6003095980dfe61d37644f546a9a5bfa4b7813c28639a88,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,LGE,LM-G900,android,10,android","(46.595367834452674,-120.52195629067717)",evStart,2021-03-04T21:12:04.077Z
2b7550f2367032017bceef58e754a59ec49828c998eb90bb5774475e533c9e85,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-05T03:52:26.719Z
7b7128b8789033415e5b1fe28aa543e05146ecd863756dc128ab37d26406a8d4,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios",n/a,evStart,2021-03-05T11:22:28.878Z
7b7128b8789033415e5b1fe28aa543e05146ecd863756dc128ab37d26406a8d4,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios",n/a,evStart,2021-03-05T11:26:21.177Z
69516773d8d6e5cebcc5f2064c9b2cdda18c45dc9e2377beea427b1415c60aa6,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.3,ios",n/a,evStart,2021-03-05T11:28:01.481Z
69516773d8d6e5cebcc5f2064c9b2cdda18c45dc9e2377beea427b1415c60aa6,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.3,ios","(39.96459659137842,-77.31166267320775)",evStart,2021-03-05T11:28:38.060Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-05T15:44:43.682Z
6033f1cbc3324b6fe261f10eea6d1d0de057b9f34ee61eb547be32423b35c725,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-N950U,android,9,android","(46.49655477729991,-120.46149440738577)",evStart,2021-03-05T16:37:55.899Z
abfa48dde1393cf7979c5a62d20d11ddfc7ea326a98870e13e256fc76d230701,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-J727R4,android,8.1.0,android","(46.498768347349504,-120.46399106679125)",evStart,2021-03-05T16:38:15.693Z
fa63af095d8fe53adb20a0ba3a75f5f3b88a81795ebb0fc8f97d56d8bd60f2f5,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G892A,android,9,android","(46.499432971623655,-120.46318238279132)",evStart,2021-03-05T16:38:16.270Z
0cd4d6f2dbd7f029784a213642551688d2dadf3930a70c45350a90ea6ca92642,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G781U,android,11,android","(46.49801151692032,-120.46659362973175)",evStart,2021-03-05T16:38:29.347Z
fb4204bc333fade56fd06fcefe4a08629794bf23db6f59c873992008f120beb0,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A205U,android,10,android",n/a,evStart,2021-03-05T16:39:40.674Z
8bee3e2642c76a94c503307097db55d71a82bfd1f50eb6391c8bd246e3f95ccc,1.0.7 (38),"android,phablet,cordova,capacitor,mobile,hybrid,motorola,moto g stylus,android,10,android","(46.4824119450506,-120.45745895373625)",evStart,2021-03-05T16:43:10.342Z
d57e4c95b1031b0d08adc287828fc6c7baa7e6adc237a055e82e3a41c1ecd2d5,1.0.7 (38),"android,phablet,cordova,capacitor,mobile,hybrid,LGE,LM-Q720,android,10,android",n/a,evStart,2021-03-05T16:46:57.623Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-05T16:47:38.632Z
d57e4c95b1031b0d08adc287828fc6c7baa7e6adc237a055e82e3a41c1ecd2d5,1.0.7 (38),"android,phablet,cordova,capacitor,mobile,hybrid,LGE,LM-Q720,android,10,android",n/a,evStart,2021-03-05T16:47:39.145Z
fb4204bc333fade56fd06fcefe4a08629794bf23db6f59c873992008f120beb0,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A205U,android,10,android",n/a,evStart,2021-03-05T16:52:14.592Z
1a4ab3b28745f7d6fa714f719800a57cc0f3e95607987b39f252fd4cb14ea686,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-05T16:53:47.907Z
c06c29a06a27bdf4fb1130177d381680c193a103f46b1fcecee87e304eddd0ab,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A516U,android,10,android",n/a,evStart,2021-03-05T16:55:09.162Z
82339c1d5fd1128c107ecd44045be8337dcbfd0997e85621c796ffc61d0e2e19,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.3,ios",n/a,evStart,2021-03-05T16:59:20.616Z
6e27edab8c918c765baf6036b698c7d4ace30d2ff10dfbbcbae9554618b7f035,1.0.7 (38),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.4,ios",n/a,evStart,2021-03-05T18:02:07.382Z
0cd4d6f2dbd7f029784a213642551688d2dadf3930a70c45350a90ea6ca92642,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G781U,android,11,android","(46.65802125373975,-118.85944404143717)",evStart,2021-03-05T22:40:50.468Z
44e83323266c28b9551b8a71bd8d97efbc9b6155e527abd0cd2b13c9029ef743,1.0.7 (38),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G950U,android,8.0.0,android","(46.28458313379483,-119.69269213977846)",evStart,2021-03-05T22:50:08.058Z
