aid,appver,lg,qanswer,qno,ts
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.14 (46),en,Q3: n/a,3,2021-05-18T18:09:12.463Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.14 (46),en,Q4: n/a,4,2021-05-18T18:09:12.467Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,"Q1: false,false,false,true,false,false",1,2021-05-23T14:21:50.022Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,"Q2: false,false,false,true,false",2,2021-05-23T14:21:50.023Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q1: n/a,1,2021-05-27T08:07:12.483Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q2: n/a,2,2021-05-27T08:07:12.484Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q1: true,false,false,false,false,false",1,2021-05-29T12:33:40.232Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q2: true,false,false,false,false",2,2021-05-29T12:33:40.233Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.14 (46),es,Q1: n/a,1,2021-05-29T15:04:26.665Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.14 (46),es,Q2: n/a,2,2021-05-29T15:04:26.666Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q3: n/a,3,2021-06-02T02:17:07.728Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q4: n/a,4,2021-06-02T02:17:07.729Z
eed5d9f16f5d6d5bcfad88f636b15247c5f7b428e49b71d6f7fe111a3802a1e5,1.0.14 (46),es,"Q1: true,true,false,false,false,false",1,2021-06-02T14:16:32.338Z
eed5d9f16f5d6d5bcfad88f636b15247c5f7b428e49b71d6f7fe111a3802a1e5,1.0.14 (46),es,"Q2: false,false,false,false,false",2,2021-06-02T14:16:32.340Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q1: n/a,1,2021-06-02T15:27:51.667Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q2: n/a,2,2021-06-02T15:27:51.668Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q3: n/a,3,2021-06-02T15:31:41.065Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q4: n/a,4,2021-06-02T15:31:41.066Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q6: n/a,6,2021-06-02T15:36:51.953Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q5: n/a,5,2021-06-02T15:36:51.953Z
f546b12355db9034d96ab6753ea43b90151285938126d7b77e2ec795cacf3765,1.0.14 (46),en,Q7: n/a,7,2021-06-02T15:36:51.954Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,"Q3: false,true,false",3,2021-06-02T21:03:06.014Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,"Q4: false,false,false,false,true",4,2021-06-02T21:03:06.014Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.14 (46),en,Q1: n/a,1,2021-06-03T21:30:17.693Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.14 (46),en,Q2: n/a,2,2021-06-03T21:30:17.694Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,Q5: n/a,5,2021-06-04T04:47:55.449Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,Q6: n/a,6,2021-06-04T04:47:55.451Z
220be54644be2bb2815f4b14eb11e08ba43b684b3f03bc112e9dd4eeeefed000,1.0.14 (46),en,Q7: n/a,7,2021-06-04T04:47:55.451Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q1: n/a,1,2021-06-09T17:03:52.533Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q2: n/a,2,2021-06-09T17:03:52.535Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.14 (46),en,Q3: n/a,3,2021-06-11T18:53:39.828Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.14 (46),en,Q4: n/a,4,2021-06-11T18:53:39.829Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q1: false,false,true,false,false,false",1,2021-06-11T21:02:05.913Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q2: false,true,true,true,true",2,2021-06-11T21:02:05.914Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q3: true,true,false",3,2021-06-11T21:03:28.881Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q4: false,true,true,true,false",4,2021-06-11T21:03:28.882Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q5: true,false,false,true",5,2021-06-11T21:04:33.582Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q6: true,false,false",6,2021-06-11T21:04:33.583Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q7: true,false,false",7,2021-06-11T21:04:33.584Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q5: n/a,5,2021-06-11T23:06:20.550Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q7: n/a,7,2021-06-11T23:06:20.551Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q6: n/a,6,2021-06-11T23:06:20.551Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q3: n/a,3,2021-06-12T12:14:34.993Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q4: n/a,4,2021-06-12T12:14:34.995Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q1: true,true,false,false,false,false",1,2021-06-13T15:13:45.672Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q2: false,false,false,false,false",2,2021-06-13T15:13:45.674Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q3: true,false,false",3,2021-06-13T15:35:12.678Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q4: true,true,true,true,false",4,2021-06-13T15:35:12.679Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),en,Q1: n/a,1,2021-06-14T03:32:34.067Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),en,Q2: n/a,2,2021-06-14T03:32:34.068Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q1: n/a,1,2021-06-15T17:39:20.417Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q2: n/a,2,2021-06-15T17:39:20.418Z
022f856cfb87cfe370b7500b61e44c4df64ace59e4f97a6f724ed787cc9cbff3,1.0.14 (46),en,Q1: n/a,1,2021-06-16T15:04:18.128Z
022f856cfb87cfe370b7500b61e44c4df64ace59e4f97a6f724ed787cc9cbff3,1.0.14 (46),en,Q2: n/a,2,2021-06-16T15:04:18.129Z
d0cd76e7a5de67ae184b2897fc671b3e75248e6ec66a48febea94d713ea989b6,1.0.14 (46),en,Q1: n/a,1,2021-06-17T21:15:52.400Z
d0cd76e7a5de67ae184b2897fc671b3e75248e6ec66a48febea94d713ea989b6,1.0.14 (46),en,Q2: n/a,2,2021-06-17T21:15:52.400Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.14 (46),en,Q5: n/a,5,2021-06-21T04:02:18.607Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.14 (46),en,Q6: n/a,6,2021-06-21T04:02:18.608Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.14 (46),en,Q7: n/a,7,2021-06-21T04:02:18.609Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q3: n/a,3,2021-06-22T03:17:12.764Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q4: n/a,4,2021-06-22T03:17:12.766Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q3: false,true,false",3,2021-06-23T18:57:32.820Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q4: true,true,true,false,false",4,2021-06-23T18:57:32.821Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q5: n/a,5,2021-06-24T14:45:58.693Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q6: n/a,6,2021-06-24T14:45:58.694Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q7: n/a,7,2021-06-24T14:45:58.695Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,Q1: n/a,1,2021-06-25T01:49:26.701Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,Q2: n/a,2,2021-06-25T01:49:26.702Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,"Q3: false,false,false",3,2021-06-25T04:00:03.687Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,"Q4: false,false,false,false,false",4,2021-06-25T04:00:03.690Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q1: n/a,1,2021-06-25T04:51:05.899Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q2: n/a,2,2021-06-25T04:51:05.904Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q1: true,true,false,false,false,false",1,2021-06-25T05:44:10.585Z
